                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                     24,               0.028354,               0.010473,              0.0039379,              0.0024277,                0.86656,                0.89651,                0.92477,                 0.6821,                0.88979,                0.91503,                0.94833,                0.62327,               0.023859,               0.013831,              0.0025913,              0.0015349,                0.00793,                0.00793,                0.00793
                     25,               0.028913,               0.010839,              0.0041551,               0.002704,                0.90404,                0.89555,                0.95453,                0.71771,                0.92528,                0.87261,                0.95809,                0.64007,               0.022362,               0.012337,              0.0027118,              0.0016131,                0.00784,                0.00784,                0.00784
                     26,               0.028496,               0.011795,              0.0039909,              0.0027345,                0.93064,                0.91249,                0.95319,                0.74504,                0.94424,                0.92469,                0.95363,                0.68098,                0.02059,               0.012476,              0.0026166,              0.0015386,                0.00775,                0.00775,                0.00775
                     27,               0.027103,               0.010125,               0.004052,              0.0026504,                0.88021,                0.94532,                0.93661,                0.69572,                0.90311,                0.96209,                0.95805,                0.70596,               0.020679,               0.012451,              0.0026206,              0.0014383,                0.00766,                0.00766,                0.00766
                     28,               0.029404,               0.011336,              0.0040759,              0.0029084,                0.91239,                 0.9512,                0.93977,                0.64156,                0.94334,                0.96972,                 0.9643,                0.71656,               0.021943,               0.014011,              0.0026754,              0.0017723,                0.00757,                0.00757,                0.00757
                     29,               0.026433,              0.0096808,              0.0037574,              0.0023561,                0.90265,                 0.9268,                 0.9422,                0.61246,                0.93052,                0.90077,                0.95492,                0.62263,               0.022174,               0.013303,              0.0025488,              0.0021171,                0.00748,                0.00748,                0.00748
                     30,               0.028119,                0.01071,              0.0038627,              0.0032371,                0.87536,                0.93576,                 0.9452,                0.70481,                0.87536,                0.93576,                0.94435,                0.65523,                0.02137,               0.012704,              0.0025863,              0.0016875,                0.00739,                0.00739,                0.00739
                     31,               0.028117,               0.011465,              0.0039267,              0.0025156,                0.91663,                0.91917,                0.94733,                0.59849,                0.92141,                0.95035,                0.95932,                0.76273,               0.023923,               0.012621,              0.0026333,              0.0014617,                 0.0073,                 0.0073,                 0.0073
                     32,               0.026559,               0.010241,              0.0039347,              0.0032557,                 0.9024,                0.88976,                0.94518,                0.71643,                0.92324,                0.90828,                0.95561,                 0.6912,               0.020798,               0.012558,              0.0025638,              0.0018024,                0.00721,                0.00721,                0.00721
                     33,                0.02582,               0.010173,              0.0038289,              0.0029724,                0.85258,                0.94532,                0.93494,                0.65387,                0.90255,                0.93943,                 0.9634,                 0.7005,               0.020956,               0.013137,               0.002429,              0.0015228,                0.00712,                0.00712,                0.00712
                     34,               0.026248,              0.0099124,              0.0039756,              0.0031516,                0.89284,                0.92082,                0.95307,                0.66438,                0.92193,                 0.9233,                0.96258,                0.65003,               0.021725,               0.013588,              0.0024598,              0.0019088,                0.00703,                0.00703,                0.00703
                     35,               0.025123,              0.0094495,              0.0037513,              0.0027582,                0.87626,                0.91678,                 0.9499,                0.74605,                0.87626,                0.91678,                0.95131,                0.70389,               0.019504,               0.013098,              0.0025776,              0.0015474,                0.00694,                0.00694,                0.00694
                     36,                 0.0253,              0.0095086,              0.0035958,               0.002283,                0.87287,                0.94955,                0.95803,                0.68684,                 0.9459,                0.91451,                 0.9628,                0.61746,               0.021446,               0.013222,              0.0024392,              0.0013787,                0.00685,                0.00685,                0.00685
                     37,               0.025686,               0.010047,              0.0035635,              0.0025138,                0.86792,                 0.9024,                0.94087,                0.65817,                0.89835,                0.92092,                0.94035,                0.66884,               0.021351,                0.01329,              0.0024431,              0.0013805,                0.00676,                0.00676,                0.00676
                     38,               0.025205,               0.010728,              0.0037421,              0.0022352,                0.86082,                0.92092,                0.93807,                0.72329,                0.86082,                0.92092,                0.93089,                0.67513,               0.024152,               0.013694,              0.0025354,             0.00097238,                0.00667,                0.00667,                0.00667
                     39,               0.027008,               0.010637,              0.0039302,              0.0026426,                0.91056,                0.91655,                0.94041,                0.69918,                0.91056,                0.91655,                0.93733,                0.67503,                0.02152,               0.013615,              0.0024411,              0.0011067,                0.00658,                0.00658,                0.00658
                     40,               0.026088,              0.0095617,              0.0037298,              0.0023856,                0.91345,                0.93268,                0.95805,                0.73117,                 0.9078,                 0.9268,                0.94575,                0.64286,                0.01987,                0.01291,               0.002399,              0.0014135,                0.00649,                0.00649,                0.00649
                     41,               0.023887,               0.009965,               0.003774,               0.002158,                0.93423,                0.91237,                 0.9509,                0.66535,                0.94366,                0.92687,                0.95561,                0.73095,               0.020583,                0.01233,              0.0024927,               0.001616,                 0.0064,                 0.0064,                 0.0064
                     42,               0.024441,              0.0098139,              0.0035971,              0.0025899,                0.94054,                0.90153,                0.94652,                0.69126,                0.96044,                0.91988,                0.94951,                0.71904,               0.020665,               0.014188,                0.00232,              0.0015502,                0.00631,                0.00631,                0.00631
                     43,               0.024809,               0.010524,              0.0036136,               0.002373,                0.89054,                0.92935,                0.94069,                0.75462,                0.88488,                0.92347,                0.94526,                0.66709,               0.018796,               0.013277,              0.0022999,              0.0013273,                0.00622,                0.00622,                0.00622
                     44,                0.02489,               0.011104,               0.003873,              0.0029739,                0.88939,                0.92092,                0.94631,                0.77024,                0.93144,                0.88772,                0.95331,                0.70012,               0.017551,               0.013229,              0.0023335,              0.0013836,                0.00613,                0.00613,                0.00613
                     45,               0.023972,               0.010246,              0.0035437,              0.0026046,                0.91321,                0.92573,                0.95341,                0.70274,                0.90731,                0.91985,                 0.9515,                0.64068,               0.019323,               0.013477,              0.0022695,             0.00084842,                0.00604,                0.00604,                0.00604
                     46,               0.023833,              0.0098961,              0.0037202,              0.0029752,                 0.9251,                0.91326,                0.94784,                0.67555,                 0.9251,                0.91326,                0.95317,                0.71684,               0.019131,               0.013325,              0.0023862,             0.00098605,                0.00595,                0.00595,                0.00595
                     47,               0.022606,              0.0094951,               0.003479,                0.00284,                0.90947,                0.94048,                0.93726,                0.73263,                0.91556,                 0.9389,                0.95072,                0.71374,               0.017764,                0.01246,              0.0023075,              0.0010792,                0.00586,                0.00586,                0.00586
                     48,               0.024408,               0.011535,              0.0036139,              0.0026841,                0.84812,                0.95644,                0.93279,                0.72274,                0.84257,                0.95074,                0.92868,                0.67814,               0.017781,               0.013228,              0.0024131,              0.0012581,                0.00577,                0.00577,                0.00577
                     49,               0.022496,               0.009514,              0.0035318,              0.0024823,                 0.8904,                0.94532,                0.94939,                0.72792,                 0.8904,                0.94532,                0.94029,                0.63688,               0.017657,               0.012435,               0.002417,              0.0009366,                0.00568,                0.00568,                0.00568
                     50,               0.022932,               0.010319,              0.0038082,              0.0024997,                0.92843,                 0.9268,                0.96569,                0.77998,                0.92271,                0.92092,                0.95097,                0.68953,                0.01738,               0.012348,              0.0023129,              0.0011158,                0.00559,                0.00559,                0.00559
                     51,               0.021907,              0.0091109,               0.003225,               0.002547,                0.91153,                0.93284,                0.94638,                0.74282,                0.91153,                0.93284,                0.95209,                0.71832,               0.020447,               0.011645,              0.0022293,              0.0014173,                 0.0055,                 0.0055,                 0.0055
                     52,               0.022696,              0.0099073,              0.0034723,              0.0022213,                0.92674,                0.91704,                 0.9447,                0.74417,                0.96049,                 0.9324,                0.95683,                0.71189,               0.017843,               0.012205,              0.0023935,               0.001398,                0.00541,                0.00541,                0.00541
                     53,               0.023429,               0.010078,              0.0035177,              0.0021963,                0.92321,                0.92616,                0.95516,                0.70079,                0.94356,                 0.9135,                0.96442,                0.62356,               0.018772,               0.013338,              0.0022905,              0.0013274,                0.00532,                0.00532,                0.00532
                     54,               0.022416,              0.0094298,              0.0033494,              0.0023397,                0.90872,                0.92903,                0.94126,                0.73813,                0.90313,                0.92314,                0.93647,                0.66711,               0.017969,               0.013918,              0.0022886,              0.0014043,                0.00523,                0.00523,                0.00523
